condition,model,method,temperature,cell,qwen_mean_accuracy,qwen_any_correct_accuracy,parseable_coverage,n_rows
q3_0p6b_full_t09,Qwen3-0.6B E1,Full,0.9,sub UD,69.3,100.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,add ED,72.15,100.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,add UD,66.5,100.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,div ED,29.85,100.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,div UD,19.05,74.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,mul ED,61.25000000000001,100.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,mul UD,66.14999999999999,96.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,sub ED,95.3,100.0,100.0,2000
q3_0p6b_full_t10,Qwen3-0.6B E1,Full,1.0,sub UD,68.60000000000001,100.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,add ED,69.69999999999999,100.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,add UD,65.7,100.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,div ED,29.45,100.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,div UD,18.05,78.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,mul ED,58.95,100.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,mul UD,63.8,96.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,sub ED,93.25,100.0,100.0,2000
q3_0p6b_full_t11,Qwen3-0.6B E1,Full,1.1,sub UD,67.25,100.0,99.95,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,add ED,65.9,100.0,100.0,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,add UD,63.95,100.0,100.0,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,div ED,28.4,100.0,100.0,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,div UD,17.299999999999997,82.0,100.0,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,mul ED,54.95,100.0,100.0,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,mul UD,58.15,96.0,100.0,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,sub ED,88.8,100.0,100.0,2000
q3_0p6b_full_t13,Qwen3-0.6B E1,Full,1.3,sub UD,64.8,100.0,99.75,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,add ED,62.5,100.0,100.0,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,add UD,62.35000000000001,100.0,100.0,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,div ED,27.6,100.0,100.0,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,div UD,16.950000000000003,86.0,100.0,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,mul ED,51.7,100.0,100.0,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,mul UD,54.400000000000006,100.0,100.0,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,sub ED,84.35000000000001,100.0,100.0,2000
q3_0p6b_full_t15,Qwen3-0.6B E1,Full,1.5,sub UD,63.05,100.0,99.4,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,add ED,58.95,100.0,100.0,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,add UD,60.35,100.0,100.0,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,div ED,26.950000000000003,100.0,100.0,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,div UD,16.5,92.0,100.0,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,mul ED,48.5,100.0,100.0,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,mul UD,51.0,100.0,100.0,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,sub ED,79.95,100.0,100.0,2000
q3_0p6b_full_t17,Qwen3-0.6B E1,Full,1.7,sub UD,61.45,100.0,99.2,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,add ED,56.00000000000001,100.0,100.0,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,add UD,57.65,100.0,100.0,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,div ED,25.9,100.0,100.0,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,div UD,15.6,96.0,99.95,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,mul ED,44.6,100.0,100.0,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,mul UD,47.65,100.0,100.0,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,sub ED,75.55,100.0,99.8,2000
q3_0p6b_full_t19,Qwen3-0.6B E1,Full,1.9,sub UD,58.8,100.0,99.15,2000
