subjid,trial,oper,op1,op2,prob,resp,day,month,year,hour,minute,second,condition,trial_sub,op1num,op1den,op2num,op2den,ansW,ansNum,ansDen,rt,age,sex,grade,race,hand,PSSAverb,PSSAmath,scrap,Stratrt,Trial ID,corAnswer,parAnswer,arithCorrect,prob,resp,strategy,code,Exp,Comments
622,701,-,3/5,2/5,3/5-2/5,1/9,26,9,2008,24,1,39,7,2,3,5,2,5,-99999,1,9,24422,11,1,6,1,1,,,,24687,701,0.2,0.111111111,0,3/5-2/5,1/9,"I have never subtracted fractions before, so I'm probably going to do the same thing as the number line and guess. I know that the fraction is 5 minus 5 which is 0, but it wouldn't let me type that in so I put 9, but it's 0, and 3 minus 2 is 1, and I know this is an improper fraction but I again forget how this works.",3,CG,
622,702,-,3/5,1/2,3/5-1/2,2/3,26,9,2008,24,1,4,7,1,3,5,1,2,-99999,2,3,10422,11,1,6,1,1,,,,24672,702,0.1,0.666666667,0,3/5-1/2,2/3,"I subtracted 3 and 1 which is 2, and 5 and 2 which is 3",3,CG,
623,401,+,3/5,2/5,3/5+2/5,5/10,29,9,2008,9,13,6,4,2,3,5,2,5,-99999,5,10,10344,11,1,6,1,1,,,,13609,401,1,0.5,0,3/5+2/5,5/10,"I found my common denominator and it was 10, and then I added 3 plus 2 and that was 5",2,CG,
623,402,+,3/5,1/2,3/5+1/2,4/10,29,9,2008,9,11,54,4,1,3,5,1,2,-99999,4,10,41938,11,1,6,1,1,,,,30156,402,1.1,0.4,0,3/5+1/2,4/10,"I added 3 plus 1 and got 4, and I found the common denominator and it was 10",2,CG,
623,501,:,3/5,1/2,3/5:1/2,3/10,29,9,2008,9,35,44,5,1,3,5,1,2,-99999,3,10,36312,11,1,6,1,1,,,,17016,501,1.2,0.3,0,3/5:1/2,3/10,"I found my common denominator, 10, and then I divided 1 divided by 3 and got 3",2,CG,
623,502,:,3/5,2/5,3/5:2/5,0/5,29,9,2008,9,36,37,5,2,3,5,2,5,-99999,0,5,75766,11,1,6,1,1,,,,20671,502,1.5,0,0,3/5:2/5,0/5,"I put as my denominator 5 because that was my common denominator, and then 3 can't go in 2 and 2 can't go into 3 for my numerator so I just put 0",1,CG,
623,601,*,3/5,2/5,3/5*2/5,1 1/5,29,9,2008,9,25,24,6,2,3,5,2,5,1,1,5,23469,11,1,6,1,1,,,,24797,601,0.24,1.2,0,3/5*2/5,1 1/5,"I got my common denominator of 5 and numerator of 6, and then I changed the 6 into a whole number and made the numerator a 1",1,CG,
623,602,*,3/5,1/2,3/5*1/2,3/10,29,9,2008,9,24,56,6,1,3,5,1,2,-99999,3,10,16813,11,1,6,1,1,,,,11765,602,0.3,0.3,1,3/5*1/2,3/10,I found my common denominator which was 10 and then I multiplied 3 times 1 and got 3,2,CG,
623,701,-,3/5,2/5,3/5-2/5,1/5,29,9,2008,9,26,31,7,1,3,5,2,5,-99999,1,5,13578,11,1,6,1,1,,,,9953,701,0.2,0.2,1,3/5-2/5,1/5,"I found my common denominator and it was 5, and then I subtracted 3 minus 2 and got 1",1,CG,
623,702,-,3/5,1/2,3/5-1/2,2/10,29,9,2008,9,26,55,7,2,3,5,1,2,-99999,2,10,17234,11,1,6,1,1,,,,9610,702,0.1,0.2,0,3/5-1/2,2/10,"I found my common denominator of 10, and then subtracted 3 minus 1 and got 2",2,CG,
624,401,+,3/5,2/5,3/5+2/5,1,29,9,2008,11,18,56,4,1,3,5,2,5,1,-99999,-99999,16281,12,1,6,1,1,,,,11188,401,1,1,1,3/5+2/5,1,"I added the numerators together, then I realized that was wrong",1,CG,
624,402,+,3/5,1/2,3/5+1/2,1 1/10,29,9,2008,11,19,24,4,2,3,5,1,2,1,1,10,21265,12,1,6,1,1,,,,7000,402,1.1,1.1,1,3/5+1/2,1 1/10,I did addition,2,CG,
624,501,:,3/5,1/2,3/5:1/2,12,29,9,2008,11,15,34,5,1,3,5,1,2,12,-99999,-99999,123329,12,1,6,1,1,,,,6000,501,1.2,12,0,3/5:1/2,12,"I turned the fractions into decimals, and thn divided",20,CG,
624,502,:,3/5,2/5,3/5:2/5,15,29,9,2008,11,17,44,5,2,3,5,2,5,15,-99999,-99999,52296,12,1,6,1,1,,,,6313,502,1.5,15,0,3/5:2/5,15,"I turned the fractions into decimals, and thn divided",20,CG,
624,601,*,3/5,2/5,3/5*2/5,6/10,29,9,2008,11,14,4,6,1,3,5,2,5,-99999,6,10,25250,12,1,6,1,1,,,,6109,601,0.24,0.6,0,3/5*2/5,6/10,I just did multiplication,3,CG,
624,602,*,3/5,1/2,3/5*1/2,30/100,29,9,2008,11,14,36,6,2,3,5,1,2,-99999,30,100,33407,12,1,6,1,1,,,,6968,602,0.3,0.3,1,3/5*1/2,30/100,"I had to bring the fractions up, then multiply",20,CG,
624,701,-,3/5,2/5,3/5-2/5,1/5,29,9,2008,11,25,43,7,1,3,5,2,5,-99999,1,5,9578,12,1,6,1,1,,,,6781,701,0.2,0.2,1,3/5-2/5,1/5,I subtracted the numerators and got the denominators,1,CG,
624,702,-,3/5,1/2,3/5-1/2,1/10,29,9,2008,11,26,0,7,2,3,5,1,2,-99999,1,10,19203,12,1,6,1,1,,,,12391,702,0.1,0.1,1,3/5-1/2,1/10,"I got the denominators to the same thing by multiplying, and then I did the subtraction",2,CG,
629,401,+,3/5,2/5,3/5+2/5,5/5,1,10,2008,9,45,16,4,1,3,5,2,5,-99999,5,5,36515,11,1,6,1,1,,,,27172,401,1,1,1,3/5+2/5,5/5,"I chose 5/5 because 3 plus 2 is 5, and I remembering hearing something stays the same, and I'm guessing that's the bottom one so I chose 5",1,CG,
629,402,+,3/5,1/2,3/5+1/2,4/8,1,10,2008,9,46,20,4,2,3,5,1,2,-99999,4,8,49875,11,1,6,1,1,,,,29797,402,1.1,0.5,0,3/5+1/2,4/8,I chose 4/8 because 4 is half of 8 and it was like 1/2 and 3/5 was what I was adding. They're both around 1/2 so I was guessing the answer was around a half,20,CG,*10?
629,501,:,3/5,1/2,3/5:1/2,2/3,1,10,2008,9,41,56,5,1,3,5,1,2,-99999,2,3,67297,11,1,6,1,1,,,,21375,501,1.2,0.666666667,0,3/5:1/2,2/3,"I picked 2/3 because the 2 is in between 3 and 1, and 3 is in the middle of 5 and 2",20,CG,
629,502,:,3/5,2/5,3/5:2/5,3/1,1,10,2008,9,43,25,5,2,3,5,2,5,-99999,3,1,57859,11,1,6,1,1,,,,40078,502,1.5,3,0,3/5:2/5,3/1,"I just guessed for the first one, and chose 3 because I didn't really get it, and then the denominator I chose 1 because 5 divided by 5 is 1",20,CG,*10?
629,601,*,3/5,2/5,3/5*2/5,6/25,1,10,2008,9,52,8,6,2,3,5,2,5,-99999,6,25,59406,11,1,6,1,1,,,,27125,601,0.24,0.24,1,3/5*2/5,6/25,"I multiplied 3 times 2 equals 6 and 5 times 5 is 25, so I got 6/25",3,CG,
629,602,*,3/5,1/2,3/5*1/2,1 3/10,1,10,2008,9,50,20,6,1,3,5,1,2,1,3,10,66688,11,1,6,1,1,,,,41594,602,0.3,1.3,0,3/5*1/2,1 3/10,"I chose the answer 1 3/10 because multiplying usually gives big answers, so I put 1 in the whole place and then 3 times 1 is 3 and 5 times 2 is 10, so I got 3/10",3,CG,
629,701,-,3/5,2/5,3/5-2/5,1/5,1,10,2008,9,48,37,7,2,3,5,2,5,-99999,1,5,51297,11,1,6,1,1,,,,40250,701,0.2,0.2,1,3/5-2/5,1/5,"I chose 1/5 as my answer and I chose that because 3 minus 2 is 1, and 5 minus 5 is 0 but I picked 5 anyway",3,CG,
629,702,-,3/5,1/2,3/5-1/2,2/3,1,10,2008,9,47,50,7,1,3,5,1,2,-99999,2,3,30515,11,1,6,1,1,,,,16610,702,0.1,0.666666667,0,3/5-1/2,2/3,I chose 2/3 as the answer because I didn't really understand it,3,CG,
630,401,+,3/5,2/5,3/5+2/5,1,1,10,2008,24,3,34,4,2,3,5,2,5,1,-99999,-99999,43469,11,1,6,1,1,,,,11219,401,1,1,1,3/5+2/5,1,"I thought 3/5 and 2/5 would be one whole, I guessed on that one",3,CG,
630,402,+,3/5,1/2,3/5+1/2,2/3,1,10,2008,24,1,34,4,1,3,5,1,2,-99999,2,3,94031,11,1,6,1,1,,,,26625,402,1.1,0.666666667,0,3/5+1/2,2/3,"I didn't know that much about the answer, I thought it'd be around 2/3. I thought it would be like that because if you're adding 3/5 plus 1/2 so it would be higher than 1/2 so I thought it'd be about 2/3",10,CG,
630,501,:,3/5,1/2,3/5:1/2,3/4,1,10,2008,24,4,45,5,1,3,5,1,2,-99999,3,4,74718,11,1,6,1,1,,,,22766,501,1.2,0.75,0,3/5:1/2,3/4,"I didn't really know how much, I forgot how to do division for fractions, so I guessed it was 3/4 because 3 divided by 1 is 3, and it would be like under 1, under 1/2",10,CG,
630,502,:,3/5,2/5,3/5:2/5,1/5,1,10,2008,24,6,23,5,2,3,5,2,5,-99999,1,5,25594,11,1,6,1,1,,,,13687,502,1.5,0.2,0,3/5:2/5,1/5,"I thought 3 divided by 2 would be, I just thought it would be 1/5 because 5's on the bottom, I thought it would be 5 again",3,CG,
630,601,*,3/5,2/5,3/5*2/5,1 1/5,1,10,2008,24,12,50,6,1,3,5,2,5,1,1,5,24328,11,1,6,1,1,,,,16422,601,0.24,1.2,0,3/5*2/5,1 1/5,"I thought 3 times 2 would be 6, and you carry the 5 over cause they're both 5 on the bottom. And it would be 1 1/5",3,CG,
630,602,*,3/5,1/2,3/5*1/2,3/10,1,10,2008,24,13,31,6,2,3,5,1,2,-99999,3,10,35156,11,1,6,1,1,,,,9984,602,0.3,0.3,1,3/5*1/2,3/10,I thought 3 times 1 would be 3 and 5  times 2 would be 10 so I put 3/10,3,CG,
630,701,-,3/5,2/5,3/5-2/5,1/5,1,10,2008,11,48,0,7,1,3,5,2,5,-99999,1,5,42610,11,1,6,1,1,,,,20500,701,0.2,0.2,1,3/5-2/5,1/5,"I knew that the 5 for the bottom part was the same, cause they're both 5, and 3/5 minus 2/5 would be 1/5",1,CG,
630,702,-,3/5,1/2,3/5-1/2,4/3,1,10,2008,11,49,3,7,2,3,5,1,2,-99999,4,3,22734,11,1,6,1,1,,,,37125,702,0.1,1.333333333,0,3/5-1/2,4/3,"I put 4/3 because 1/2 of, there's…I subtracted 1/2, or 1 2 of 3/5, and I should've did half of 3/5 I think",3,CG,
631,401,+,3/5,2/5,3/5+2/5,5/5,6,11,2008,9,53,47,4,2,3,5,2,5,-99999,5,5,10344,10,1,6,1,1,,,,25172,401,1,1,1,3/5+2/5,5/5,"I got 5/5 or 1, because since both denominators were the same, they didn't add each other up and I multiplied 3 by 2 and that gave me 5, so I got my answer of 5/5 or 1",1,CG,
631,402,+,3/5,1/2,3/5+1/2,11/10,6,11,2008,9,52,31,4,1,3,5,1,2,-99999,11,10,49937,10,1,6,1,1,,,,26281,402,1.1,1.1,1,3/5+1/2,11/10,"I got my answer because I knew my denominators need to be the same,  so I times 2 by 5 and I times 5 by 2, but since I times the denominators I did the same for the numerators, so I times 1 by 5, and then times 3 by 2, and that gave me 11/10",2,CG,
631,501,:,3/5,1/2,3/5:1/2,1/10,6,11,2008,9,56,4,5,1,3,5,1,2,-99999,1,10,43109,10,1,6,1,1,,,,29485,501,1.2,0.1,0,3/5:1/2,1/10,"I got my answer because once again my denominators needed to be the same, so I times the 5 by 2 and 2 by 5, but since I did that to my denominators, I had to do that to my numerator. So I times 5 by 1 and 2 by 3, so then I divided 6/10 by 5/10 and I got 1/10",2,CG,
631,502,:,3/5,2/5,3/5:2/5,1/5,6,11,2008,9,57,17,5,2,3,5,2,5,-99999,1,5,35938,10,1,6,1,1,,,,17500,502,1.5,0.2,0,3/5:2/5,1/5,"I did not change the denominators cause they were both the same, and you don't change the denominator when they're both the same.  But, then I divided 3 by 2 to get 1, so my answer is 1/5",1,CG,
631,601,*,3/5,2/5,3/5*2/5,6/25,6,11,2008,9,45,14,6,2,3,5,2,5,-99999,6,25,21843,10,1,6,1,1,,,,13328,601,0.24,0.24,1,3/5*2/5,6/25,"I figured this out by timesing the numerators of 3 and 2 to get 6, and I times the denominator of 5 and 5 to get 25",3,CG,
631,602,*,3/5,1/2,3/5*1/2,3/10,6,11,2008,9,44,3,6,1,3,5,1,2,-99999,3,10,52546,10,1,6,1,1,,,,18954,602,0.3,0.3,1,3/5*1/2,3/10,"I figured this out because I times 3 times 1 and that equals 3, so that was my numerator, and my denominator, I figured that out by timesing, because I times 5 by 2 to get 10",3,CG,
631,701,-,3/5,2/5,3/5-2/5,1/5,6,11,2008,9,55,24,7,2,3,5,2,5,-99999,1,5,9438,10,1,6,1,1,,,,18937,701,0.2,0.2,1,3/5-2/5,1/5,"I got my answer by minusing 3/5 by 2/5 which gave me 1/5. I didn't change the denominator because the denominators stay the same, you don't do anything to it",1,CG,
631,702,-,3/5,1/2,3/5-1/2,1/10,6,11,2008,9,54,32,7,1,3,5,1,2,-99999,1,10,19656,10,1,6,1,1,,,,32594,702,0.1,0.1,1,3/5-1/2,1/10,"Well first the denominators need to be the same, so I times 5 by 2 and 2 by 5, since I times the denominators by something I have to do th same for the numerators , so I times 5 by 1, and 2 by 3, that gave me 6/10 minus 5/10 and that equal 5/10",2,CG,
632,401,+,3/5,2/5,3/5+2/5,5/10,6,11,2008,10,14,38,4,1,3,5,2,5,-99999,5,10,21297,11,0,6,1,1,,,,8687,401,1,0.5,0,3/5+2/5,5/10,I put 5/10 because I added 3 and 2 to get 5 and 5 and 5 to get 10,3,CG,
632,402,+,3/5,1/2,3/5+1/2,4/7,6,11,2008,10,15,8,4,2,3,5,1,2,-99999,4,7,16125,11,0,6,1,1,,,,14203,402,1.1,0.571428571,0,3/5+1/2,4/7,"I got 4/7 because I added 3 and 1 to get 4, and I added 5 and 2 to get 7, and that's how I got 4/7",3,CG,
632,501,:,3/5,1/2,3/5:1/2,3/2,6,11,2008,10,22,18,5,2,3,5,1,2,-99999,3,2,40922,11,0,6,1,1,,,,13907,501,1.2,1.5,0,3/5:1/2,3/2,"I put 3/2 because when you put 1 and the 3, you put 1 in the 3 three times, and when you put 2 in the 5 it goes two times",3,CG,
632,502,:,3/5,2/5,3/5:2/5,1/1,6,11,2008,10,21,41,5,1,3,5,2,5,-99999,1,1,16906,11,0,6,1,1,,,,20125,502,1.5,1,0,3/5:2/5,1/1,"I put 1/1 because I divided 3 and 2 and it can only goes once so I put 1, then I put 5 divided by 5 and it ended up with 1 cause 5 can only go into 5 one time",3,CG,
632,601,*,3/5,2/5,3/5*2/5,6/25,6,11,2008,10,6,45,6,2,3,5,2,5,-99999,6,25,55672,11,0,6,1,1,,,,15265,601,0.24,0.24,1,3/5*2/5,6/25,"I timesed 3 by 2 to get 6, and 5 by 5 to get 25",3,CG,
632,602,*,3/5,1/2,3/5*1/2,4/10,6,11,2008,10,5,14,6,1,3,5,1,2,-99999,4,10,68750,11,0,6,1,1,,,,22234,602,0.3,0.4,0,3/5*1/2,4/10,I timesed 1 by 3 and 5 by 2 to get 4/10,3,CG,
632,701,-,3/5,2/5,3/5-2/5,1/5,6,11,2008,10,24,2,7,2,3,5,2,5,-99999,1,5,26266,11,0,6,1,1,,,,18187,701,0.2,0.2,1,3/5-2/5,1/5,"I first got 1/5 because I minus 3 from 2 to get 1, then I both of the bottoms are 5 so I kept it a 5",1,CG,
632,702,-,3/5,1/2,3/5-1/2,2/3,6,11,2008,10,23,29,7,1,3,5,1,2,-99999,2,3,15907,11,0,6,1,1,,,,17562,702,0.1,0.666666667,0,3/5-1/2,2/3,"I did it this way because when you minus 1 from 3 you end up with 2, and when you 5 minus 2 you get 3, and that's why I got 2/3",3,CG,
633,401,+,3/5,2/5,3/5+2/5,1,6,11,2008,11,42,33,4,2,3,5,2,5,1,-99999,-99999,9172,12,1,6,1,1,,,,14844,401,1,1,1,3/5+2/5,1,"There was no need to change the denominator, and 3 and 2 the numerators added up to be exactly the same as the denominators so the answer was 1",1,CG,
633,402,+,3/5,1/2,3/5+1/2,1 1/10,6,11,2008,11,41,34,4,1,3,5,1,2,1,1,10,39313,12,1,6,1,1,,,,19906,402,1.1,1.1,1,3/5+1/2,1 1/10,"By doing this I found the LCM in 3/5 and 1/2 which was 6/10 and 5/10, and then added them to get 1 1/10",2,CG,
633,501,:,3/5,1/2,3/5:1/2,1 1/5,6,11,2008,11,52,55,5,2,3,5,1,2,1,1,5,44532,12,1,6,1,1,,,,21609,501,1.2,1.2,1,3/5:1/2,1 1/5,"I changed my fractions to decimals, then divided them, and got my answer, changed it back to a fraction and got 1 1/5",20,CG,
633,502,:,3/5,2/5,3/5:2/5,1 1/2,6,11,2008,11,51,14,5,1,3,5,2,5,1,1,2,87250,12,1,6,1,1,,,,13922,502,1.5,1.5,1,3/5:2/5,1 1/2,"I changed the fractions to decimals, and then divided these, and then changed my answer back to a fraction to get my answer",20,CG,
633,601,*,3/5,2/5,3/5*2/5,6/5,6,11,2008,11,54,13,6,1,3,5,2,5,-99999,6,5,29156,12,1,6,1,1,,,,14297,601,0.24,1.2,0,3/5*2/5,6/5,I multiplied the numerator to get 6 and kept the denominators the same to keep the 5ths,1,CG,
633,602,*,3/5,1/2,3/5*1/2,3,6,11,2008,11,54,57,6,2,3,5,1,2,3,-99999,-99999,51297,12,1,6,1,1,,,,27343,602,0.3,3,0,3/5*1/2,3,"I multiplied the fractions into their LCM to get 6/10 multiplied, times 5/10, and then that would equal 30/10, then I simplified this to 3",2,CG,
633,701,-,3/5,2/5,3/5-2/5,1/5,6,11,2008,11,49,47,7,1,3,5,2,5,-99999,1,5,8625,12,1,6,1,1,,,,20094,701,0.2,0.2,1,3/5-2/5,1/5,I figured out that the denominators need not be changed on 3/5 and 2/5 but you must subtract the numerators which were 3 and 2 to equal 1/5 overall,1,CG,
633,702,-,3/5,1/2,3/5-1/2,1/10,6,11,2008,11,50,16,7,2,3,5,1,2,-99999,1,10,16172,12,1,6,1,1,,,,29750,702,0.1,0.1,1,3/5-1/2,1/10,I figured out that 3/5 and 1/2 need to have their denominators and numerators changed to fit the proper fraction so I multiplied 3/5 into 6/10 and 1/2 into 5/10 and then subtracted to get 1/10,2,CG,
636,401,+,3/5,2/5,3/5+2/5,5/10,13,11,2008,9,10,36,4,2,3,5,2,5,-99999,5,10,13828,12,0,6,1,1,,,,8500,401,1,0.5,0,3/5+2/5,5/10,I just added again. 401.,3,DB,
636,402,+,3/5,1/2,3/5+1/2,4/7,13,11,2008,9,9,47,4,1,3,5,1,2,-99999,4,7,34110,12,0,6,1,1,,,,14625,402,1.1,0.571428571,0,3/5+1/2,4/7,"I just added. Really, to be truthful, 3+1. … ",3,DB,
636,501,:,3/5,1/2,3/5:1/2,3/2,13,11,2008,9,28,15,5,2,3,5,1,2,-99999,3,2,30437,12,0,6,1,1,,,,9156,501,1.2,1.5,0,3/5:1/2,3/2,"How could 3 go into 1? That's why I'm kinda like … You can't put 0 I don't think, so I mean … (laughs). I chose that because I divided 3 times 1 and 5 times 2.",3,DB,
636,502,:,3/5,2/5,3/5:2/5,1/1,13,11,2008,9,27,41,5,1,3,5,2,5,-99999,1,1,21125,12,0,6,1,1,,,,13282,502,1.5,1,0,3/5:2/5,1/1,I chose that because I divided 3 times 2 and then I did 5 times .. I mean divided by 5.,3,DB,
636,601,*,3/5,2/5,3/5*2/5,6/10,13,11,2008,9,27,9,6,2,3,5,2,5,-99999,6,10,6781,12,0,6,1,1,,,,8734,601,0.24,0.6,0,3/5*2/5,6/10,I chose that because I multiplied 3 times 2 and 5 times 5.,3,DB,
636,602,*,3/5,1/2,3/5*1/2,3/10,13,11,2008,9,26,52,6,1,3,5,1,2,-99999,3,10,9860,12,0,6,1,1,,,,7125,602,0.3,0.3,1,3/5*1/2,3/10,I chose that because I divided 3 times 1 and then I divided 5 times 10.,3,DB,
636,701,-,3/5,2/5,3/5-2/5,1/1,13,11,2008,9,25,35,7,1,3,5,2,5,-99999,1,1,26797,12,0,6,1,1,,,,11750,701,0.2,1,0,3/5-2/5,1/1,I subtracted 3 minus 2 and 5 minus 5. I don't think you can put a 0.,3,DB,
636,702,-,3/5,1/2,3/5-1/2,2/3,13,11,2008,9,26,13,7,2,3,5,1,2,-99999,2,3,8359,12,0,6,1,1,,,,12141,702,0.1,0.666666667,0,3/5-1/2,2/3,I chose 2/3 because I subtracted 3 minus 1 and then I subtracted 5 minus 2.,3,DB,
638,401,+,3/5,2/5,3/5+2/5,1,13,11,2008,10,9,34,4,2,3,5,2,5,1,-99999,-99999,39203,11,0,6,1,1,,,,29625,401,1,1,1,3/5+2/5,1,"I added 3/5 and 2/5 and got 1 because I left the denominator 5 and 5 alone which gave me 5, and added the 3 and 2 of the numerator which got 5 also, and that would even out to 1",1,CG,
638,402,+,3/5,1/2,3/5+1/2,4/7,13,11,2008,10,8,40,4,1,3,5,1,2,-99999,4,7,28890,11,0,6,1,1,,,,25641,402,1.1,0.571428571,0,3/5+1/2,4/7,"I added 3/5 and 1/2 and got 4/7 because I added the denominators 5 and 2 to get 7, and added the numerators 3 and 1 to get 4",3,CG,
638,501,:,3/5,1/2,3/5:1/2,1 3/4,13,11,2008,10,22,23,5,1,3,5,1,2,1,3,4,59953,11,0,6,1,1,,,,33922,501,1.2,1.75,0,3/5:1/2,1 3/4,"I divided 3/5 by 1/2 and got 1 3/4 because 3 divided by 1 is 3, and 5 divided by 2 I have as 4 and I took the remainder and used it for the whole",3,CG,
638,502,:,3/5,2/5,3/5:2/5,1/5,13,11,2008,10,23,57,5,2,3,5,2,5,-99999,1,5,28828,11,0,6,1,1,,,,22468,502,1.5,0.2,0,3/5:2/5,1/5,"I have 3/5 divided by 2/5 equalling 1/5 because I left the 5 alone, and divided 3 by 2 giving me 1",1,CG,
638,601,*,3/5,2/5,3/5*2/5,1/2,13,11,2008,10,7,5,6,2,3,5,2,5,-99999,1,2,50313,11,0,6,1,1,,,,29672,601,0.24,0.5,0,3/5*2/5,1/2,"I multiplied 3/5 times 2/5 and got 1/2 because I multiplied each number by 1 and got 5/10, so then I split the fraction in half and got 1/2",20,CG,
638,602,*,3/5,1/2,3/5*1/2,8/14,13,11,2008,10,5,13,6,1,3,5,1,2,-99999,8,14,87188,11,0,6,1,1,,,,24468,602,0.3,0.571428571,0,3/5*1/2,8/14,I multiplied 3/5 times 1/2 and got 8/14 because I multiplied it every number by 2 and got 8/14,20,CG,
638,701,-,3/5,2/5,3/5-2/5,1/5,13,11,2008,9,56,45,7,1,3,5,2,5,-99999,1,5,43672,11,0,6,1,1,,,,30813,701,0.2,0.2,1,3/5-2/5,1/5,"First I took the numerators and subtracted them, 3 and 2 to get 1, and then I took the denominators and I kept them the same since they're both 5's and made it 1/5",1,CG,
638,702,-,3/5,1/2,3/5-1/2,2/3,13,11,2008,9,57,59,7,2,3,5,1,2,-99999,2,3,39093,11,0,6,1,1,,,,23360,702,0.1,0.666666667,0,3/5-1/2,2/3,"First I took the numerators 3 and 1, and subtracted 1 from 3 to get 2, and then I took the denominators 5 and 2 to get 3, and I ended up with 2/3",3,CG,
639,401,+,3/5,2/5,3/5+2/5,5/5,13,11,2008,11,40,43,4,2,3,5,2,5,-99999,5,5,19437,11,1,6,1,1,,,,11234,401,1,1,1,3/5+2/5,5/5,"I took the lowest common denominator, which was 5, then added 3 plus 2 to get 5",1,CG,
