condition,model,method,temperature,cell,qwen_mean_accuracy,qwen_any_correct_accuracy,parseable_coverage,n_rows
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,sub ED,92.35,100.0,100.0,2000
q3_1p7b_lora_e2_t11,Qwen3-1.7B E2,LoRA continued merged,1.1,sub UD,70.45,100.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,add ED,65.8,100.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,add UD,65.4,100.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,div ED,27.05,100.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,div UD,17.5,84.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,mul ED,51.4,100.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,mul UD,58.3,96.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,sub ED,86.45,100.0,100.0,2000
q3_1p7b_lora_e2_t13,Qwen3-1.7B E2,LoRA continued merged,1.3,sub UD,68.75,100.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,add ED,61.5,100.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,add UD,64.5,100.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,div ED,26.6,100.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,div UD,17.2,88.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,mul ED,48.8,100.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,mul UD,53.1,96.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,sub ED,81.75,100.0,100.0,2000
q3_1p7b_lora_e2_t15,Qwen3-1.7B E2,LoRA continued merged,1.5,sub UD,67.7,100.0,99.9,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,add ED,57.9,100.0,100.0,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,add UD,63.2,100.0,100.0,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,div ED,26.3,100.0,100.0,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,div UD,16.8,90.0,100.0,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,mul ED,45.95,100.0,100.0,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,mul UD,49.55,100.0,100.0,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,sub ED,76.14999999999999,100.0,100.0,2000
q3_1p7b_lora_e2_t17,Qwen3-1.7B E2,LoRA continued merged,1.7,sub UD,66.4,100.0,99.7,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,add ED,55.05,100.0,100.0,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,add UD,61.1,100.0,100.0,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,div ED,26.0,100.0,100.0,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,div UD,16.25,92.0,100.0,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,mul ED,44.25,100.0,100.0,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,mul UD,46.6,100.0,100.0,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,sub ED,72.7,100.0,99.9,2000
q3_1p7b_lora_e2_t19,Qwen3-1.7B E2,LoRA continued merged,1.9,sub UD,65.4,100.0,99.45,2000
